Track,Album Name,Artist,Release Date,All Time Rank,YouTube Views,TikTok Views,Explicit Track
writhe,writhe,daine,2/21/2023,386.0,915870602.0,91112.0,0
WUSYANAME,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,3146.0,38053954.0,93000.0,1
Komet,Komet,Udo Lindenberg,1/19/2023,1796.0,83855008.0,95067.0,0
X (feat. Future),Savage Mode,21 Savage,7/15/2016,1302.0,365678540.0,98210.0,1
BBY BOO (REMIX),BBY BOO (REMIX),iZaak,3/27/2024,1771.0,639184.0,102900.0,1
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),Churrasquinho do Menos ï¿½ï¿½ Mais (Ao V,Grupo Menos ï¿½ï¿½ ,4/23/2020,2260.0,996737706.0,102989.0,0
HEAT STICK,HEAT STICK,Shoreline Mafia,5/10/2024,979.0,3575151.0,108700.0,1
Casanova,Casanova,Soolking,12/7/2023,2940.0,31447677.0,111700.0,0
Cynical,Cynical,twocolors,6/30/2023,1363.0,37013758.0,119315.0,0
True Love,True Love,Kanye West,5/27/2022,2884.0,3464827.0,139748.0,0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,233.0,135893150.0,147200.0,0
Ai Preto,Ai Preto,L7NNON,6/3/2022,3178.0,247152121.0,149298.0,0
Sent Gamkauwa,Sent Gamkauwa,Shivani Singh,5/19/2023,1717.0,319210127.0,153512.0,0
Numb,Numb,Marshmello,6/10/2022,1219.0,54641192.0,172191.0,0
Baby Shark,Pinkfong Bebefinn (Pt. 1),Bebefinn,8/26/2022,2289.0,462509288.0,172700.0,0
GOAT,Goat - Single,Number_i,1/1/2024,3951.0,68873278.0,173000.0,0
HIBIKI,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,1948.0,30126694.0,185582.0,1
Endless Fashion (feat. Nicki Minaj),Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,6/21/2023,4387.0,11390626.0,190551.0,1
Casi Completa,PRESENTE,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,11/17/2023,2489.0,104860686.0,194766.0,0
vice city,vice city,XXXTENTACION,1/28/2022,4343.0,100696513.0,198631.0,1
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee (feat. Lil Uzi Vert) [Radio Version],Migos,10/28/2016,3688.0,1274494178.0,223131.0,0
Check It Out,Check It Out,Parmish Verma,6/27/2023,4341.0,113013875.0,233947.0,0
Ron Artest,Ron Artest,Babyface Ray,2/8/2023,3973.0,17655608.0,243757.0,1
Razzi Bolja,Razzi Bolja,Harjeet Deewana,1/17/2021,3664.0,651601460.0,249060.0,0
Birthday Sex,Jeremih (Edited Version),Jeremih,1/1/2009,4099.0,324947792.0,258300.0,0
HIND'S HALL,HIND'S HALL,Macklemore,5/10/2024,3589.0,2237688.0,272100.0,1
King Size,Feed Tha Streets III,Roddy Ricch,11/18/2022,1163.0,590470795.0,297262.0,1
Tipo Hollywood,Tipo Holywood,Mc Ws da leste,9/19/2023,4412.0,40396492.0,300988.0,1
Private Jet,Mafia Musik,D. Savage,2/17/2023,2181.0,340092596.0,316425.0,1
Feel the POP,You had me at HELLO,ZEROBASEONE,5/13/2024,1060.0,31498812.0,329800.0,0
Tera Fitoor,"Tera Fitoor (From ""Genius"")",Arijit Singh,7/12/2018,4545.0,900050812.0,331691.0,0
Tigini (Remix),Tigini (Remix) - Single,Kikimoteleba,5/20/2022,4199.0,201368546.0,334079.0,0
Thunder,Thunder,Gabry Ponte,5/7/2021,1582.0,159774916.0,361365.0,0
Baby Shark,Baby Shark & More Kids Songs,Super Simple Songs,3/24/2017,3749.0,1065036315.0,386999.0,0
Yankee 150,Yankee 150 - Single,Yandel,6/16/2023,4189.0,26943448.0,389534.0,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,52.0,2457026781.0,393580.0,0
U My Everything (feat. Drake),In Sexyy We Trust,Sexyy Red,5/24/2024,2133.0,3143016.0,400300.0,1
"Perdï¿½ï¿½n, Per",Esto Sï¿½ï¿½ Es Cu,Los ï¿½ï¿½ngeles Az,6/8/2018,3214.0,1185240552.0,402111.0,0
lost souls,The Melodic Blue,Baby Keem,9/22/2021,3889.0,25049879.0,404172.0,1
Fear Of Heights,For All The Dogs,Drake,10/6/2023,4358.0,4154083.0,405415.0,1
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/2019,2741.0,1100441738.0,421369.0,0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,2237.0,87680985.0,432059.0,1
Tucson Too Late,Bluebird Days,Jordan Davis,2/17/2023,4288.0,4562833.0,458426.0,0
Kamar Teri Left Right Hale,Kamar Teri Left Right Hale - Single,Sandeep Surila,7/24/2020,3357.0,772008576.0,477115.0,0
Sex Music,Sex Music,Tank,6/29/2010,2638.0,7187358.0,482153.0,0
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,3224.0,4628735.0,485970.0,0
Entra Na Defender,Entra Na Defender,Luan Pereira,3/21/2024,2064.0,41802961.0,486300.0,0
ROCKSTAR,$AD BOYZ 4 LIFE II,Junior H,10/5/2023,2404.0,59903646.0,487133.0,1
Los Patitos,Grandes Clï¿½ï¿½sicos Infantiles (Vol,El Reino Infantil,4/20/2010,4086.0,2160514390.0,501700.0,0
Never Sleep (feat. Lil Baby),Never Sleep,NAV,7/29/2022,4123.0,24521973.0,505539.0,1
SKITZO,UTOPIA,Travis Scott,7/28/2023,1513.0,12456826.0,540963.0,1
"Natanael Cano: Bzrp Music Sessions, Vol. 59","Natanael Cano: Bzrp Music Sessions, Vol. 59",Bizarrap,4/2/2024,683.0,55418429.0,556900.0,1
REPEAT IT,REPEAT IT,Lil Tecca,8/6/2021,4467.0,27753856.0,571049.0,1
9mm,Memphis Cult Vol. 6,Memphis Cult,2/23/2023,2754.0,33874675.0,587731.0,1
O Me Voy O Te Vas,O Me Voy O Te Vas,Natanael Cano,10/11/2023,692.0,232513811.0,588601.0,0
Khairiyat,Chhichhore,Arijit Singh,8/31/2019,1587.0,1362890151.0,617708.0,0
123 Song,123 Song,D Billions,10/23/2019,1214.0,1754170433.0,669921.0,0
A Puro Dolor,A Puro Dolor - Single,Gabito Ballesteros,12/2/2023,2098.0,79026835.0,670588.0,0
Starboy - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,4250.0,219872306.0,676012.0,1
Mama's Boy,Mama's Boy,Dominic Fike,6/23/2023,4535.0,16644597.0,697596.0,0
Love wins all,Love wins all,IU,1/24/2024,1100.0,122003102.0,712700.0,0
Stay,Unapologetic (Edited Version),Rihanna,1/1/2012,1607.0,1350480491.0,721480.0,0
PLEBADA,PLEBADA,El Alfa,6/8/2023,1260.0,254704259.0,724569.0,0
Take Her Home,Take Her Home - Single,Kenny Chesney,11/10/2023,2048.0,2441458.0,725724.0,0
Back,Back,LOLA,8/3/2022,140.0,2123978358.0,735317.0,0
Gypsy,Gypsy,G.D. Kaur,5/10/2022,2682.0,457435947.0,756707.0,0
Christmas Love,Christmas Love - Single,Jimin,12/24/2020,3044.0,50238131.0,815938.0,0
"Sheï¿½ï¿½ï¿½s Gone, Da","Sheï¿½ï¿½ï¿½s Gone, Da",Disclosure,5/29/2024,1813.0,149674.0,816500.0,0
Hari Hari Odhani,Hari Hari Odhani,Pawan Singh,11/4/2022,2960.0,344702201.0,825399.0,0
We Found Love,Talk That Talk (Explicit),Rihanna,1/1/2011,1965.0,1438850843.0,831485.0,0
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,309.0,3322959.0,843600.0,0
THE GIRLS - BLACKPINK THE GAME OST,THE GIRLS (BLACKPINK THE GAME OST),BLACKPINK,8/25/2023,3596.0,92628391.0,870565.0,0
Magic Johnson,Valedictorian [Deluxe],ian,5/31/2024,3110.0,913.0,878600.0,1
The Hillbillies,The Hillbillies,Baby Keem,6/5/2023,4537.0,5737464.0,889338.0,1
Love Nwantiti - Remix,Love Nwantiti (Remix),Dj Yo!,8/30/2019,1613.0,486500564.0,928083.0,0
Lambiyan Raataan,Lambiyan Raataan - Single,Jubin Nautiyal,8/27/2021,644.0,1498796051.0,950474.0,0
LOS APARATOS,LOS APARATOS,El Alfa,8/3/2022,3943.0,153725209.0,950882.0,0
Piyar Farak Wali,Piyar Farak Wali,Pawan Singh,4/24/2023,1846.0,324783065.0,967073.0,0
Clara Bow,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,3863.0,3279453.0,981800.0,0
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,1/14/2022,1079.0,9750600.0,1029336.0,1
Bakkal Amca,Bakkal Amca,Kukuli,5/10/2021,3775.0,565493630.0,1040868.0,0
Needle (feat. Drake),Pink Friday 2,Nicki Minaj,12/8/2023,2982.0,5380786.0,1100000.0,1
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,1002.0,44839108.0,1130861.0,1
Guli Mata,Guli Mata,Saad Lamjarred,7/12/2023,734.0,386890237.0,1152931.0,0
"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,4/20/2021,2209.0,833736978.0,1175444.0,0
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,10/21/2011,3344.0,192872269.0,1195592.0,0
Best For Me,Best For Me,Joyner Lucas,3/18/2024,2798.0,18904500.0,1200000.0,1
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,46.0,22374807.0,1200000.0,1
Cab In A Solo,Cab In A Solo - Single,Scotty McCreery,8/18/2023,3787.0,3113363.0,1218414.0,0
Where Are ï¿½ï¿½ Now (with Justin Bie,Skrillex and Diplo present Jack ï¿,Jack ï¿,2/24/2015,2036.0,1343498789.0,1292397.0,0
Cama Repetida,Sofrï¿½ï¿½ncia Ou Fuleragem? (Ao Vivo / Part,Leo Santana,11/15/2023,3387.0,78522265.0,1292457.0,0
Smile (with The Weeknd),Legends Never Die,Juice WRLD,7/10/2020,3984.0,130269657.0,1309847.0,1
Mï¿½ï¿½dchen auf dem P,Mï¿½ï¿½dchen auf dem P,Luca-Dante Spadafora,5/12/2023,2226.0,23993631.0,1318558.0,0
Wish,Wish,Diler Kharkiya,11/20/2020,3598.0,681881643.0,1327611.0,0
Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,10/20/2023,2853.0,73651632.0,1349277.0,0
Jericho,Jericho - Single,Iniko,4/15/2023,1673.0,64556961.0,1386456.0,0
Jï¿½ï¿½lale,Jï¿½ï¿½lale,Bb trickz,5/2/2024,2102.0,18261218.0,1395100.0,0
PRIMER AVISO,PRIMER AVISO - Single,Maria Becerra,2/29/2024,3244.0,40333378.0,1423100.0,0
